Date,Close,Open,High,Low,Volume
2009-07-16 00:00:00+00:00,10.49,10.47,11.77,10.47,2401900
2009-07-17 00:00:00+00:00,9.97,10.1,10.2,9.97,1002480
2009-07-20 00:00:00+00:00,9.47,9.47,9.47,9.47,156560
2009-07-21 00:00:00+00:00,9.13,9.0,9.29,9.0,2133390
2009-07-22 00:00:00+00:00,9.26,9.29,9.39,9.16,949090
2009-07-23 00:00:00+00:00,9.71,9.21,9.71,9.21,758310
2009-07-24 00:00:00+00:00,10.18,10.18,10.18,10.18,640060
2009-07-27 00:00:00+00:00,10.68,10.68,10.68,10.34,3264870
2009-07-28 00:00:00+00:00,10.41,10.68,10.94,10.39,2008120
2009-07-30 00:00:00+00:00,9.92,9.89,10.07,9.68,830120
2009-07-31 00:00:00+00:00,10.39,10.07,10.39,10.05,1807290
2009-08-03 00:00:00+00:00,10.47,10.47,10.68,10.34,1203870
2009-08-05 00:00:00+00:00,10.47,10.44,10.54,10.36,1130020
2009-08-06 00:00:00+00:00,10.34,10.47,10.54,10.34,1483460
2009-08-07 00:00:00+00:00,10.31,10.34,10.41,10.26,668260
2009-08-10 00:00:00+00:00,10.44,10.39,10.47,10.34,730910
2009-08-11 00:00:00+00:00,10.31,10.39,10.44,10.28,557710
2009-08-12 00:00:00+00:00,10.26,10.41,10.44,10.26,1001200
2009-08-13 00:00:00+00:00,10.31,10.41,10.41,10.26,1161040
2009-08-14 00:00:00+00:00,10.39,10.34,10.44,10.31,878140
2009-08-17 00:00:00+00:00,10.34,10.47,10.52,10.34,1534900
2009-08-18 00:00:00+00:00,10.23,10.2,10.34,10.18,778860
2009-08-19 00:00:00+00:00,10.23,10.23,10.31,10.2,713790
2009-08-20 00:00:00+00:00,10.15,10.2,10.23,10.15,867530
2009-08-21 00:00:00+00:00,10.23,10.34,10.47,10.2,1127700
2009-08-24 00:00:00+00:00,10.23,10.2,10.28,10.2,684140
2009-08-25 00:00:00+00:00,10.15,10.2,10.2,10.13,715430
2009-08-26 00:00:00+00:00,10.1,10.1,10.15,10.1,635150
2009-08-27 00:00:00+00:00,10.05,10.07,10.1,10.02,609730
2009-08-28 00:00:00+00:00,10.1,10.07,10.1,10.05,928800
2009-08-31 00:00:00+00:00,10.18,10.28,10.31,10.07,763090
2009-09-01 00:00:00+00:00,10.13,10.1,10.15,10.07,628060
2009-09-03 00:00:00+00:00,10.02,9.99,10.15,9.99,659050
2009-09-04 00:00:00+00:00,9.81,9.99,10.1,9.81,683440
2009-09-07 00:00:00+00:00,9.63,9.47,9.73,9.42,737000
2009-09-08 00:00:00+00:00,9.81,9.68,9.81,9.68,477720
2009-09-09 00:00:00+00:00,9.76,9.89,9.89,9.76,324240
2009-09-10 00:00:00+00:00,9.63,9.68,9.73,9.6,373890
2009-09-11 00:00:00+00:00,9.58,9.63,9.68,9.58,570170
2009-09-14 00:00:00+00:00,9.52,9.58,9.6,9.52,598780
2009-09-15 00:00:00+00:00,9.55,9.47,9.68,9.47,776350
2009-09-16 00:00:00+00:00,10.02,10.02,10.02,9.84,1260580
2009-09-17 00:00:00+00:00,9.94,10.2,10.2,9.89,1075010
2009-09-18 00:00:00+00:00,9.94,9.68,9.94,9.68,876100
2009-09-21 00:00:00+00:00,9.92,9.94,9.94,9.89,852040
2009-09-22 00:00:00+00:00,9.79,9.81,9.86,9.68,702320
2009-09-23 00:00:00+00:00,9.79,9.94,9.94,9.79,885880
2009-09-24 00:00:00+00:00,9.68,9.71,9.76,9.68,444170
2009-09-25 00:00:00+00:00,9.86,9.63,9.94,9.63,608020
2009-09-28 00:00:00+00:00,9.76,9.94,9.94,9.76,469480
2009-09-29 00:00:00+00:00,9.68,9.71,9.76,9.65,484260
2009-09-30 00:00:00+00:00,9.63,9.6,9.68,9.6,449040
2009-10-01 00:00:00+00:00,9.52,9.58,9.68,9.52,434790
2009-10-02 00:00:00+00:00,9.29,9.31,9.42,9.24,592860
2009-10-05 00:00:00+00:00,9.26,9.29,9.42,9.24,364210
2009-10-06 00:00:00+00:00,9.24,9.29,9.37,9.24,309510
2009-10-07 00:00:00+00:00,9.26,9.24,9.37,9.24,245860
2009-10-08 00:00:00+00:00,9.26,9.29,9.29,9.24,333010
2009-10-09 00:00:00+00:00,9.29,9.29,9.31,9.26,488560
2009-10-12 00:00:00+00:00,9.37,9.31,9.37,9.29,448330
2009-10-13 00:00:00+00:00,9.31,9.37,9.39,9.31,336930
2009-10-14 00:00:00+00:00,9.73,9.29,9.73,9.26,929480
2009-10-15 00:00:00+00:00,9.81,10.02,10.05,9.68,1060150
2009-10-16 00:00:00+00:00,9.6,9.58,9.73,9.58,347270
2009-10-19 00:00:00+00:00,9.6,9.63,9.63,9.55,454800
2009-10-20 00:00:00+00:00,9.6,9.63,9.63,9.55,433970
2009-10-21 00:00:00+00:00,9.47,9.47,9.52,9.45,384800
2009-10-22 00:00:00+00:00,9.58,9.47,9.58,9.47,448640
2009-10-23 00:00:00+00:00,9.68,9.68,10.05,9.6,2529720
2009-10-26 00:00:00+00:00,9.55,9.68,9.79,9.55,322910
2009-10-27 00:00:00+00:00,9.37,9.42,9.55,9.31,470240
2009-10-28 00:00:00+00:00,9.34,9.42,9.55,9.31,428140
2009-10-29 00:00:00+00:00,9.08,9.16,9.26,9.05,815460
2009-10-30 00:00:00+00:00,9.11,9.24,9.24,9.03,523470
2009-11-02 00:00:00+00:00,8.69,8.69,9.0,8.66,641990
2009-11-03 00:00:00+00:00,8.27,8.63,8.69,8.27,606340
2009-11-04 00:00:00+00:00,8.35,8.14,8.63,8.14,466720
2009-11-05 00:00:00+00:00,8.74,8.5,8.74,8.48,261170
2009-11-06 00:00:00+00:00,8.63,8.77,8.84,8.63,296090
2009-11-09 00:00:00+00:00,8.24,8.45,8.58,8.24,291820
2009-11-10 00:00:00+00:00,7.98,8.24,8.27,7.98,242450
2009-11-11 00:00:00+00:00,8.11,7.98,8.11,7.98,255010
2009-11-12 00:00:00+00:00,8.32,8.11,8.37,8.11,221650
2009-11-13 00:00:00+00:00,8.35,8.32,8.37,8.29,244650
2009-11-16 00:00:00+00:00,8.22,8.35,8.35,8.22,121650
2009-11-17 00:00:00+00:00,8.06,8.22,8.22,8.06,151170
2009-11-18 00:00:00+00:00,8.06,8.06,8.11,8.03,187600
2009-11-19 00:00:00+00:00,8.03,8.01,8.09,8.01,234250
2009-11-20 00:00:00+00:00,7.98,8.03,8.09,7.98,129660
2009-11-23 00:00:00+00:00,7.69,7.88,7.9,7.69,201440
2009-11-24 00:00:00+00:00,7.33,7.59,7.67,7.33,260020
2009-11-25 00:00:00+00:00,6.96,6.96,7.12,6.96,239410
2009-11-26 00:00:00+00:00,6.62,6.65,6.8,6.62,505360
2009-11-27 00:00:00+00:00,6.93,6.36,6.93,6.36,257220
2009-11-30 00:00:00+00:00,7.27,7.25,7.27,7.2,367620
2009-12-01 00:00:00+00:00,7.61,7.61,7.61,7.61,54280
2009-12-02 00:00:00+00:00,7.51,7.85,7.85,7.51,722530
2009-12-03 00:00:00+00:00,7.59,7.48,7.64,7.48,308130
2009-12-04 00:00:00+00:00,7.56,7.59,7.64,7.51,353490
2009-12-07 00:00:00+00:00,7.64,7.59,7.64,7.56,199070
2009-12-08 00:00:00+00:00,7.61,7.64,7.64,7.54,302510
2009-12-09 00:00:00+00:00,7.25,7.25,7.38,7.25,341100
2009-12-10 00:00:00+00:00,7.25,7.46,7.46,7.22,116540
2009-12-11 00:00:00+00:00,6.96,7.09,7.33,6.93,305170
2009-12-14 00:00:00+00:00,7.3,7.27,7.3,7.22,291760
2009-12-15 00:00:00+00:00,7.64,7.38,7.64,7.3,526060
2009-12-16 00:00:00+00:00,7.59,7.64,7.72,7.59,1193260
2009-12-17 00:00:00+00:00,7.72,7.59,7.72,7.46,358600
2009-12-18 00:00:00+00:00,8.09,7.75,8.09,7.75,936240
2009-12-21 00:00:00+00:00,8.22,8.22,8.24,8.06,272050
2009-12-22 00:00:00+00:00,7.98,8.11,8.19,7.95,297960
2009-12-23 00:00:00+00:00,7.72,7.88,7.98,7.72,253280
2009-12-24 00:00:00+00:00,7.59,7.82,7.82,7.59,664560
2009-12-25 00:00:00+00:00,7.69,7.85,7.88,7.59,379320
2009-12-28 00:00:00+00:00,7.67,7.61,7.69,7.61,185620
2009-12-29 00:00:00+00:00,7.72,7.59,7.72,7.59,226520
2009-12-30 00:00:00+00:00,7.75,7.67,7.85,7.67,154710
2009-12-31 00:00:00+00:00,7.72,7.75,7.77,7.72,227140
2010-01-04 00:00:00+00:00,8.09,7.85,8.09,7.72,273690
2010-01-05 00:00:00+00:00,8.24,8.37,8.37,8.16,412620
2010-01-06 00:00:00+00:00,7.88,7.85,8.03,7.85,395370
2010-01-07 00:00:00+00:00,7.75,7.77,7.82,7.75,175450
2010-01-08 00:00:00+00:00,7.67,7.85,7.85,7.67,258380
2010-01-11 00:00:00+00:00,7.75,7.72,7.75,7.64,237870
