Open,High,Low,Close,Volume,Date
27.15,27.25,27.05,27.2,3300000,2024-01-02
27.2,27.6,27.05,27.6,3123600,2024-01-03
27.65,29.5,27.55,28.6,14693100,2024-01-04
28.75,29.15,28.7,29.0,8765200,2024-01-05
29.5,29.8,29.05,29.55,12113500,2024-01-08
29.6,30.15,29.3,30.0,14351600,2024-01-09
30.0,31.15,29.85,31.0,13924900,2024-01-10
31.1,31.5,30.4,31.0,9746100,2024-01-11
30.8,31.85,30.6,31.5,17184500,2024-01-12
31.55,31.7,31.0,31.4,6951700,2024-01-15
31.05,31.4,30.8,31.4,7442400,2024-01-16
31.05,31.5,31.0,31.15,6739800,2024-01-17
31.15,31.6,30.9,31.5,8842000,2024-01-18
31.7,32.6,31.45,32.6,14108300,2024-01-19
32.549,32.65,31.95,32.65,8679800,2024-01-22
32.65,32.8,31.9,32.2,9136000,2024-01-23
31.95,32.4,31.9,32.0,4997700,2024-01-24
32.0,32.1,31.6,32.049,5164700,2024-01-25
32.1,32.25,31.95,32.1,3676400,2024-01-26
32.1,32.75,32.0,32.299,5875800,2024-01-29
32.35,32.45,32.049,32.2,3741900,2024-01-30
32.45,32.5,31.3,31.6,11925100,2024-01-31
31.45,32.1,31.45,32.049,5126100,2024-02-01
32.0,32.15,31.55,31.7,4536600,2024-02-02
31.75,33.9,31.75,33.9,21679700,2024-02-05
34.0,34.45,33.85,34.4,8645600,2024-02-06
34.4,36.3,34.4,35.5,13534000,2024-02-07
35.6,35.8,35.0,35.0,8849700,2024-02-15
35.3,35.3,34.65,35.25,7504900,2024-02-16
35.1,35.5,34.5,35.4,10677500,2024-02-19
35.3,35.6,34.7,35.2,6832100,2024-02-20
35.25,36.2,35.05,35.55,10391600,2024-02-21
35.7,35.75,35.25,35.7,7056000,2024-02-22
35.8,37.15,35.0,35.2,25763100,2024-02-23
35.2,35.85,35.1,35.65,6391800,2024-02-26
35.7,36.3,35.45,36.15,9066000,2024-02-27
36.4,36.45,35.65,35.95,9809600,2024-02-28
36.2,36.3,35.2,35.55,12798100,2024-02-29
35.7,35.7,35.0,35.6,9179700,2024-03-01
35.6,36.9,35.15,36.0,17569600,2024-03-04
36.0,36.45,35.75,36.45,7378300,2024-03-05
36.4,36.95,35.65,36.1,11114900,2024-03-06
36.0,36.05,35.45,35.8,8882900,2024-03-07
35.8,35.85,34.5,34.5,20828300,2024-03-08
34.5,34.75,33.9,34.15,7842600,2024-03-11
34.0,34.6,33.95,34.5,6760600,2024-03-12
34.6,35.15,34.2,35.15,6141800,2024-03-13
35.2,35.2,34.2,34.45,7010100,2024-03-14
34.4,35.4,33.95,34.75,9586500,2024-03-15
34.75,35.0,32.35,33.3,11387200,2024-03-18
33.4,33.8,32.95,33.3,7149600,2024-03-19
33.2,34.5,33.0,34.35,9484900,2024-03-20
34.6,34.9,34.05,34.9,9087700,2024-03-21
35.1,36.4,35.0,35.7,15958000,2024-03-22
35.5,35.7,34.5,34.7,9577000,2024-03-25
34.75,35.4,34.65,35.2,3801300,2024-03-26
35.0,35.5,34.8,35.5,5066600,2024-03-27
35.9,35.9,35.3,35.75,7031500,2024-03-28
35.75,35.75,35.15,35.55,4490100,2024-03-29
35.4,35.4,34.75,35.0,7918200,2024-04-01
34.5,35.2,34.1,35.0,6979000,2024-04-02
34.9,35.0,33.9,34.05,9109200,2024-04-03
34.2,34.3,33.5,33.55,7104500,2024-04-04
33.2,33.6,33.1,33.2,9834200,2024-04-05
33.3,34.25,32.95,33.5,12007900,2024-04-08
33.9,34.25,33.55,34.25,5238500,2024-04-09
34.35,34.35,33.65,33.65,4301500,2024-04-10
33.3,33.7,33.25,33.7,4179700,2024-04-11
33.8,36.05,33.65,35.9,23775200,2024-04-12
35.8,36.3,33.4,33.45,29292700,2024-04-15
33.9,34.05,32.8,34.05,15414300,2024-04-16
34.25,34.25,32.65,32.7,19095700,2024-04-17
32.1,32.75,31.25,31.6,13040500,2024-04-19
32.049,32.4,31.7,32.299,7768100,2024-04-22
32.25,32.5,31.15,31.5,10689200,2024-04-23
32.0,32.95,31.7,32.95,9012800,2024-04-24
32.85,33.0,32.25,33.0,4863800,2024-04-25
32.549,33.15,32.15,32.8,8972900,2024-04-26
32.8,32.8,32.0,32.35,6361000,2024-05-02
