Open,High,Low,Close,Volume,Date
2304.22,2316.26,2283.4,2314.71,2280.74512,2024-09-09
2314.71,2338.83,2310.47,2315.3,1184.44825,2024-09-09
2315.3,2325.51,2272.85,2292.56,3883.48652,2024-09-09
2292.56,2352.49,2291.34,2350.2,3718.42571,2024-09-09
2350.2,2380,2337.25,2359.62,1364.64289,2024-09-09
2359.62,2360.32,2335,2340.84,2163.71224,2024-09-10
2340.84,2366.43,2329.78,2363.08,774.76325,2024-09-10
2363.08,2371.94,2339.41,2351,1162.84031,2024-09-10
2351,2363.68,2321,2325.01,2477.09939,2024-09-10
2325.01,2391.2,2324.75,2381.32,2407.9538,2024-09-10
2381.32,2399.52,2372.2,2388.39,3277.47708,2024-09-10
2388.39,2389.2,2339.2,2348.2,2637.49164,2024-09-11
2348.2,2348.2,2319.46,2341.89,2400.35902,2024-09-11
2341.89,2341.89,2307.93,2327.58,1423.70545,2024-09-11
2327.58,2354.81,2278,2326.09,6184.65106,2024-09-11
2326.09,2368.6,2324.63,2341.29,2756.39598,2024-09-11
2341.29,2351.79,2333.36,2340.6,648.18761,2024-09-11
2340.6,2391.59,2339.6,2368.34,2312.35661,2024-09-12
2368.34,2379.32,2352.9,2359.59,2917.17186,2024-09-12
2359.59,2365.99,2343.36,2348.55,2448.30556,2024-09-12
2348.55,2366.54,2315.4,2323.2,5767.2026,2024-09-12
2323.2,2361.54,2322.42,2360.9,3119.65635,2024-09-12
2360.9,2373.63,2341.5,2361.75,2420.18527,2024-09-12
2361.75,2364.55,2350.27,2356.04,2950.62694,2024-09-13
2356.04,2359.2,2337.35,2348.88,2651.98552,2024-09-13
2348.88,2376.11,2341.67,2354.35,8643.18038,2024-09-13
2354.35,2412.61,2342.42,2407.79,23637.25722,2024-09-13
2407.79,2428.37,2396.06,2420.79,16364.3331,2024-09-13
2420.79,2464.24,2413.14,2439.2,10895.06878,2024-09-13
2439.2,2440.6,2422.3,2432.94,7282.06562,2024-09-14
2432.94,2433.6,2413.8,2420.23,5085.12718,2024-09-14
2420.23,2421.76,2408.54,2417.08,5797.48298,2024-09-14
2417.08,2423.96,2412.17,2418.54,6197.38294,2024-09-14
2418.54,2421.15,2377,2408.72,6328.70424,2024-09-14
2408.72,2422,2407.16,2417.8,3425.33449,2024-09-14
2417.8,2430.19,2416.53,2420.08,4298.66012,2024-09-15
2420.08,2424.18,2414.1,2422.9,3391.77463,2024-09-15
2422.9,2423.18,2402.18,2406.86,4754.92064,2024-09-15
2406.86,2418.72,2396.28,2408.71,6106.87785,2024-09-15
2408.71,2409.12,2362.72,2372.35,10995.74049,2024-09-15
2372.35,2372.35,2285,2316.09,13142.23637,2024-09-15
2316.09,2322.6,2252.64,2278.38,20524.17189,2024-09-16
2278.38,2312.86,2276.2,2310.69,12383.47413,2024-09-16
2310.69,2335.69,2289,2307.81,14532.5325,2024-09-16
2307.81,2312.6,2269.62,2287.73,15410.54106,2024-09-16
2287.73,2310.8,2269.6,2275.23,14132.04836,2024-09-16
2275.23,2301.6,2268,2295.67,13329.93398,2024-09-16
2295.67,2298.91,2263.29,2284.18,9526.34383,2024-09-17
2284.18,2310.7,2282.44,2309.17,9702.36912,2024-09-17
2309.17,2323.41,2302.46,2308.12,12348.90973,2024-09-17
2308.12,2393.34,2302.61,2383.79,24195.48366,2024-09-17
