Date,Close,Open,High,Low,Volume
2006-12-13 00:00:00+00:00,11.52,11.52,11.52,11.52,83530
2006-12-14 00:00:00+00:00,12.09,12.09,12.09,12.09,280710
2006-12-15 00:00:00+00:00,12.7,12.7,12.7,12.7,265300
2006-12-18 00:00:00+00:00,13.33,13.33,13.33,13.33,215790
2006-12-19 00:00:00+00:00,13.99,13.99,13.99,13.99,137520
2006-12-20 00:00:00+00:00,14.68,14.68,14.68,14.68,220120
2006-12-21 00:00:00+00:00,13.96,14.42,14.42,13.96,156400
2006-12-22 00:00:00+00:00,13.27,13.27,13.27,13.27,143500
2006-12-25 00:00:00+00:00,12.61,12.61,12.61,12.61,22140
2006-12-26 00:00:00+00:00,13.21,12.01,13.21,12.01,300150
2006-12-27 00:00:00+00:00,13.82,13.82,13.82,13.21,413230
2006-12-28 00:00:00+00:00,13.82,13.53,13.82,13.53,144840
2006-12-29 00:00:00+00:00,13.24,13.39,13.39,13.24,69760
2007-01-02 00:00:00+00:00,12.67,12.96,12.96,12.67,81170
2007-01-03 00:00:00+00:00,12.96,12.67,12.96,12.67,74660
2007-01-04 00:00:00+00:00,13.59,13.59,13.59,13.59,148510
2007-01-05 00:00:00+00:00,14.25,14.25,14.25,14.25,377800
2007-01-08 00:00:00+00:00,14.11,14.68,14.68,14.11,351470
2007-01-09 00:00:00+00:00,14.11,14.25,14.25,14.11,225270
2007-01-10 00:00:00+00:00,14.25,14.11,14.25,14.11,314250
2007-01-11 00:00:00+00:00,14.39,14.39,14.39,14.39,283920
2007-01-12 00:00:00+00:00,15.12,15.12,15.12,15.12,279710
2007-01-15 00:00:00+00:00,15.86,15.4,15.86,15.4,274290
2007-01-16 00:00:00+00:00,16.64,16.64,16.64,16.64,339760
2007-01-17 00:00:00+00:00,15.84,17.25,17.25,15.84,145870
2007-01-18 00:00:00+00:00,15.86,15.06,15.86,15.06,282430
2007-01-19 00:00:00+00:00,16.64,16.64,16.64,16.64,95290
2007-01-22 00:00:00+00:00,17.27,17.45,17.45,17.27,461630
2007-01-23 00:00:00+00:00,17.33,17.27,17.33,17.27,243990
2007-01-24 00:00:00+00:00,16.7,17.33,17.33,16.7,156420
