Open,High,Low,Close,Volume,Date
83.69,83.69,82.65,82.82,1714500,2024-01-02
82.56,83.34,82.39,83.17,1436900,2024-01-03
83.17,84.98,83.08,83.94,2973900,2024-01-04
84.03,84.2,83.34,84.12,1138600,2024-01-05
84.12,84.89,83.86,84.03,1443000,2024-01-08
84.03,84.03,83.43,83.43,1211700,2024-01-09
83.51,83.69,81.61,81.79,3302500,2024-01-10
81.79,82.39,81.79,82.04,1370900,2024-01-11
81.87,82.56,81.27,81.79,2597000,2024-01-12
82.04,82.82,81.96,82.39,1312200,2024-01-15
81.79,82.65,81.79,82.65,810000,2024-01-16
82.56,82.91,82.04,82.65,1414000,2024-01-17
82.65,82.91,82.22,82.56,1136900,2024-01-18
82.91,83.69,82.65,83.17,1493200,2024-01-19
83.6,83.6,82.74,83.25,1108000,2024-01-22
82.99,83.25,82.39,82.56,1480400,2024-01-23
82.74,82.74,81.96,82.04,1722100,2024-01-24
82.13,82.65,81.87,82.13,845100,2024-01-25
82.48,83.08,82.3,82.82,925400,2024-01-26
82.82,82.99,82.3,82.82,1060700,2024-01-29
82.82,82.82,82.39,82.56,949000,2024-01-30
82.56,82.91,82.48,82.65,1381500,2024-01-31
82.82,86.28,82.65,86.28,7793700,2024-02-01
86.54,88.26,86.45,88.09,2876100,2024-02-02
88.09,89.9,88.0,89.39,2694400,2024-02-05
89.47,90.68,88.87,89.9,1884300,2024-02-06
90.42,90.68,89.73,90.59,2125400,2024-02-07
90.85,91.11,89.64,89.82,2248400,2024-02-15
89.82,90.77,89.64,90.77,2066000,2024-02-16
91.11,92.41,90.68,90.68,2031800,2024-02-19
90.85,90.85,89.82,90.08,1844300,2024-02-20
89.82,92.32,89.39,91.46,3137500,2024-02-21
91.46,91.54,90.34,90.34,1718700,2024-02-22
91.11,92.15,89.21,89.73,4103500,2024-02-23
89.73,93.27,89.39,93.27,4466700,2024-02-26
93.7,94.57,92.75,93.19,2800800,2024-02-27
93.27,93.7,91.8,93.7,3461700,2024-02-28
93.44,94.48,93.01,94.14,2824800,2024-02-29
94.31,96.21,94.22,95.69,4019400,2024-03-01
95.86,96.55,95.69,96.21,3087100,2024-03-04
96.21,96.21,94.91,95.6,3383000,2024-03-05
95.0,95.34,93.62,94.22,3702600,2024-03-06
94.22,98.37,93.44,96.12,4037600,2024-03-07
96.12,97.24,94.57,95.0,3115600,2024-03-08
95.0,98.02,95.0,95.0,3381500,2024-03-11
95.0,98.02,95.0,96.64,2907800,2024-03-12
97.42,101.04,96.73,101.04,5114200,2024-03-13
102.34,102.34,99.92,101.04,3463000,2024-03-14
100.87,100.87,98.89,100.18,3838400,2024-03-15
100.01,100.01,95.95,97.59,5884600,2024-03-18
97.59,97.59,95.95,96.73,3315400,2024-03-19
96.99,99.32,95.95,98.89,3475700,2024-03-20
99.49,100.35,98.97,100.35,3757800,2024-03-21
100.44,100.44,98.89,99.23,2414800,2024-03-22
98.54,99.4,98.28,98.45,2794400,2024-03-25
98.45,99.75,98.11,99.32,1693300,2024-03-26
99.06,99.58,98.54,99.49,1320200,2024-03-27
100.09,101.39,99.58,101.13,2803200,2024-03-28
100.53,101.22,100.18,100.61,1343500,2024-03-29
100.18,101.56,99.49,100.87,1974600,2024-04-01
99.66,101.04,99.66,101.04,2285800,2024-04-02
100.27,101.04,99.4,99.4,2549000,2024-04-03
99.32,100.01,98.45,98.45,2359500,2024-04-04
97.68,99.06,97.24,98.19,2759000,2024-04-05
98.19,98.19,97.24,97.24,1952000,2024-04-08
97.24,97.76,97.16,97.59,1432500,2024-04-09
98.02,99.84,97.85,98.28,1791100,2024-04-10
98.02,99.66,97.85,99.23,1549400,2024-04-11
100.09,100.09,98.71,99.75,1367300,2024-04-12
99.75,99.84,96.29,96.38,3701900,2024-04-15
96.73,97.76,96.29,97.59,3642700,2024-04-16
97.68,97.68,96.38,96.55,1943300,2024-04-17
95.43,96.04,94.14,94.14,5361100,2024-04-19
95.0,96.21,94.05,95.26,2397300,2024-04-22
95.78,97.85,94.91,96.99,4037600,2024-04-23
98.11,103.72,97.76,103.72,10158700,2024-04-24
105.79,110.54,105.28,106.4,5707700,2024-04-25
106.23,108.3,105.54,106.4,3396500,2024-04-26
106.92,111.41,106.66,109.94,3469300,2024-05-02
110.63,110.89,108.47,108.73,3191200,2024-05-03
109.25,110.2,107.52,110.2,2704600,2024-05-06
110.54,113.65,109.85,113.39,3122800,2024-05-07
112.36,113.14,111.67,113.14,3017800,2024-05-08
112.79,114.69,112.27,112.53,2203300,2024-05-09
113.39,114.17,111.58,113.14,3789700,2024-05-10
113.39,113.57,111.24,112.01,1852200,2024-05-13
112.27,113.74,111.93,112.7,2304600,2024-05-14
113.57,116.16,113.39,115.81,3653100,2024-05-15
117.11,118.58,115.9,116.94,3119000,2024-05-16
116.94,117.45,115.47,116.16,2306400,2024-05-17
116.76,117.54,114.86,114.86,2013500,2024-05-20
115.73,117.45,115.29,117.45,3471900,2024-05-21
119.09,120.65,117.54,119.18,4511800,2024-05-22
118.75,119.01,116.59,118.75,3621500,2024-05-23
119.18,119.18,112.79,113.91,13375600,2024-05-24
114.86,115.29,112.79,114.69,5157800,2024-05-27
115.73,118.32,114.95,118.32,4625300,2024-05-28
118.4,119.35,116.42,117.19,5837600,2024-05-29
115.55,116.59,113.91,116.59,7261300,2024-05-30
116.59,118.14,115.55,116.24,2633500,2024-05-31
116.59,118.84,116.33,118.23,7773600,2024-06-03
120.04,120.3,119.01,120.13,7009800,2024-06-04
120.91,125.14,120.65,120.99,6321600,2024-06-05
121.17,122.38,119.87,120.56,5211800,2024-06-06
121.77,122.64,121.34,122.64,3756900,2024-06-07
123.93,125.23,123.5,124.36,3775400,2024-06-10
124.62,126.52,123.59,126.52,6327300,2024-06-11
127.9,132.7,127.8,132.0,11215500,2024-06-12
133.7,133.8,130.0,130.0,8136200,2024-06-13
130.1,132.6,129.0,131.0,6406200,2024-06-14
131.0,131.4,128.5,128.8,4867600,2024-06-17
128.8,129.699,128.0,128.0,6680000,2024-06-18
128.0,132.8,126.6,131.5,9669200,2024-06-19
133.0,135.7,131.8,133.3,10465700,2024-06-20
133.9,136.1,133.3,136.1,7653300,2024-06-21
135.0,135.5,132.0,132.1,13186900,2024-06-24
131.0,131.1,128.6,130.0,13706800,2024-06-25
131.0,131.8,129.4,131.8,7147400,2024-06-26
131.3,134.1,130.8,132.8,6403700,2024-06-27
132.8,132.8,130.4,130.5,6633000,2024-06-28
130.4,130.4,128.5,128.6,6376000,2024-07-01
128.6,132.1,127.5,128.0,6720600,2024-07-02
130.5,132.8,130.1,131.0,7634100,2024-07-03
132.1,135.8,132.1,135.8,8117900,2024-07-04
136.1,139.7,136.1,138.7,7789400,2024-07-05
138.5,139.6,137.5,139.6,5865700,2024-07-08
139.1,139.3,136.0,137.5,9676100,2024-07-09
136.0,137.0,134.0,134.0,6294700,2024-07-10
134.1,135.4,132.5,133.0,6842100,2024-07-11
132.2,136.0,132.2,133.8,3553400,2024-07-12
133.5,134.8,132.3,132.7,3067200,2024-07-15
133.6,134.5,132.3,134.0,4002300,2024-07-16
134.0,134.1,129.9,131.9,6970100,2024-07-17
131.4,131.4,127.8,127.9,10800200,2024-07-18
128.6,129.3,126.0,126.0,6551700,2024-07-19
126.0,126.0,123.2,124.1,6216900,2024-07-22
124.9,127.5,124.8,125.5,5311600,2024-07-23
125.5,126.6,124.0,126.0,4151700,2024-07-24
124.2,125.5,124.1,125.0,2563400,2024-07-25
125.9,128.0,124.4,128.0,3951100,2024-07-26
130.0,130.6,129.0,129.0,4859800,2024-07-29
129.0,129.5,127.0,128.0,2373800,2024-07-30
127.3,128.6,126.6,128.6,2869200,2024-07-31
129.6,129.699,124.1,124.8,6870300,2024-08-01
122.1,124.8,121.0,123.2,9944700,2024-08-02
121.1,122.9,117.4,118.6,10415200,2024-08-05
120.0,121.9,119.8,120.8,6728100,2024-08-06
121.0,122.0,120.2,122.0,2822800,2024-08-07
121.6,122.4,120.9,121.4,2654900,2024-08-08
122.4,126.9,122.0,126.9,5496400,2024-08-09
126.9,130.199,126.2,130.0,6183500,2024-08-12
129.699,130.199,128.0,129.699,4097900,2024-08-13
130.699,131.5,129.5,129.5,2862200,2024-08-14
129.1,129.5,128.199,128.699,2257600,2024-08-15
129.1,131.0,129.1,130.6,5093600,2024-08-16
131.1,131.4,130.0,130.5,2498400,2024-08-19
130.699,132.5,130.699,131.5,3741400,2024-08-20
130.6,133.8,130.6,133.5,6119700,2024-08-21
134.0,134.5,133.5,133.8,3020500,2024-08-22
133.7,133.7,132.4,133.1,3055000,2024-08-23
133.3,133.5,131.5,131.5,2590300,2024-08-26
131.5,132.6,130.4,132.5,2338500,2024-08-27
133.0,134.5,132.9,133.3,2711500,2024-08-28
132.8,133.8,132.2,133.7,2092700,2024-08-29
133.5,134.9,133.0,134.8,3315800,2024-08-30
133.0,133.0,131.5,133.0,4535200,2024-09-04
133.0,133.0,129.699,130.6,8055600,2024-09-05
130.5,132.9,130.3,132.1,3821400,2024-09-06
130.8,131.9,130.1,131.3,2885200,2024-09-09
131.0,131.0,129.6,130.0,4195100,2024-09-10
130.0,131.3,129.8,130.6,3190400,2024-09-11
131.0,132.5,131.0,132.3,4118000,2024-09-12
