Date,Close,Open,High,Low,Volume
2018-06-04 00:00:00+00:00,16.55,16.55,16.97,16.55,2811840
2018-06-05 00:00:00+00:00,15.52,16.02,17.13,15.52,1357500
2018-06-06 00:00:00+00:00,14.87,15.35,15.52,14.71,1605480
2018-06-07 00:00:00+00:00,15.9,15.27,15.9,15.05,1376540
2018-06-08 00:00:00+00:00,17.0,16.32,17.0,16.08,2008500
2018-06-11 00:00:00+00:00,17.62,16.94,17.62,16.68,1229830
2018-06-12 00:00:00+00:00,16.97,17.45,17.45,16.63,1139130
2018-06-13 00:00:00+00:00,17.03,16.97,17.45,16.89,772670
2018-06-14 00:00:00+00:00,16.97,17.21,17.21,16.73,617130
2018-06-15 00:00:00+00:00,17.0,17.05,17.05,16.73,723460
2018-06-18 00:00:00+00:00,16.16,16.82,16.97,15.84,825810
2018-06-19 00:00:00+00:00,15.35,15.37,15.68,15.03,2092720
2018-06-20 00:00:00+00:00,15.39,15.35,15.6,15.05,554870
2018-06-21 00:00:00+00:00,15.39,15.42,15.42,15.08,497790
2018-06-22 00:00:00+00:00,15.35,15.37,15.37,15.13,328710
2018-06-25 00:00:00+00:00,15.5,15.52,15.68,15.47,918340
2018-06-26 00:00:00+00:00,15.35,15.26,15.43,15.22,493790
2018-06-27 00:00:00+00:00,15.13,15.11,15.35,15.11,394860
2018-06-28 00:00:00+00:00,14.9,15.03,15.11,14.3,1319230
2018-06-29 00:00:00+00:00,14.82,14.71,14.87,14.06,1583700
2018-07-02 00:00:00+00:00,14.21,14.84,14.84,14.06,669570
2018-07-03 00:00:00+00:00,13.22,14.14,14.27,13.22,2112230
2018-07-04 00:00:00+00:00,13.09,13.01,13.09,12.3,1102650
2018-07-05 00:00:00+00:00,13.65,13.99,13.99,13.09,1583450
2018-07-06 00:00:00+00:00,13.96,13.58,14.06,13.09,1160990
2018-07-09 00:00:00+00:00,13.82,14.06,14.16,13.5,631240
2018-07-10 00:00:00+00:00,13.41,13.82,13.82,13.34,549100
2018-07-11 00:00:00+00:00,12.49,13.14,13.14,12.49,1134570
2018-07-12 00:00:00+00:00,12.61,12.17,12.61,12.17,686180
2018-07-13 00:00:00+00:00,12.7,12.8,12.85,12.61,406500
2018-07-16 00:00:00+00:00,12.7,12.61,12.7,12.49,430160
2018-07-17 00:00:00+00:00,13.14,12.7,13.34,12.46,1174520
2018-07-18 00:00:00+00:00,13.55,13.34,13.82,13.24,1139340
2018-07-19 00:00:00+00:00,13.53,13.58,13.58,13.34,680430
2018-07-20 00:00:00+00:00,13.53,13.34,13.53,13.19,1473990
2018-07-23 00:00:00+00:00,12.9,13.24,13.5,12.9,878370
2018-07-24 00:00:00+00:00,12.8,13.09,13.34,12.75,1019120
2018-07-25 00:00:00+00:00,12.97,12.99,13.02,12.07,3348190
2018-07-26 00:00:00+00:00,12.51,12.61,12.73,12.37,645430
2018-07-27 00:00:00+00:00,12.58,12.51,12.7,12.41,1427670
2018-07-30 00:00:00+00:00,12.66,12.58,12.7,12.56,1438740
2018-07-31 00:00:00+00:00,13.48,12.68,13.53,12.61,4690660
2018-08-01 00:00:00+00:00,13.36,13.53,13.89,13.16,2060620
2018-08-02 00:00:00+00:00,13.82,13.24,13.82,13.09,3507500
2018-08-03 00:00:00+00:00,13.75,13.87,14.01,13.58,2418140
2018-08-06 00:00:00+00:00,13.58,13.58,13.72,13.48,1478320
2018-08-07 00:00:00+00:00,13.55,13.46,13.67,13.29,1670400
2018-08-08 00:00:00+00:00,13.46,13.65,13.65,13.29,1406450
2018-08-09 00:00:00+00:00,13.29,13.53,13.72,13.29,2342630
2018-08-10 00:00:00+00:00,13.19,13.29,13.43,12.8,2362660
2018-08-13 00:00:00+00:00,13.31,13.09,13.41,12.99,1369550
2018-08-14 00:00:00+00:00,13.19,13.34,13.34,13.09,850440
2018-08-15 00:00:00+00:00,12.85,13.09,13.19,12.85,1030610
2018-08-16 00:00:00+00:00,12.85,12.85,13.04,12.58,1576340
2018-08-17 00:00:00+00:00,12.85,12.85,13.04,12.85,691890
2018-08-20 00:00:00+00:00,12.85,12.95,12.95,12.56,847610
2018-08-21 00:00:00+00:00,12.85,12.85,12.92,12.73,904270
2018-08-22 00:00:00+00:00,12.92,12.95,13.29,12.87,1386850
2018-08-23 00:00:00+00:00,12.97,13.09,13.16,12.92,1031560
2018-08-24 00:00:00+00:00,12.9,12.97,13.07,12.85,817010
2018-08-27 00:00:00+00:00,12.85,12.9,13.02,12.85,1480540
2018-08-28 00:00:00+00:00,12.73,12.9,12.99,12.7,1630740
2018-08-29 00:00:00+00:00,12.68,12.73,12.78,12.66,778240
2018-08-30 00:00:00+00:00,12.75,12.68,12.75,12.63,887840
2018-08-31 00:00:00+00:00,12.75,12.75,13.02,12.75,1723040
2018-09-04 00:00:00+00:00,12.66,12.75,12.9,12.63,991610
2018-09-05 00:00:00+00:00,12.51,12.66,12.73,12.49,1052150
2018-09-06 00:00:00+00:00,12.03,12.51,12.56,12.03,2694080
2018-09-07 00:00:00+00:00,12.24,12.12,12.27,12.07,2154200
2018-09-10 00:00:00+00:00,12.37,12.32,12.37,12.12,1297720
2018-09-11 00:00:00+00:00,12.32,12.34,12.37,12.27,780150
2018-09-12 00:00:00+00:00,12.12,12.37,12.39,12.12,1460210
2018-09-13 00:00:00+00:00,12.22,12.12,12.32,12.12,1105010
2018-09-14 00:00:00+00:00,12.24,12.22,12.32,12.2,1343360
2018-09-17 00:00:00+00:00,12.63,12.24,13.09,12.2,2714630
2018-09-18 00:00:00+00:00,12.68,12.63,12.68,12.39,1059520
2018-09-19 00:00:00+00:00,12.9,12.7,13.12,12.7,2934180
2018-09-20 00:00:00+00:00,13.58,12.9,13.58,12.9,5779740
2018-09-21 00:00:00+00:00,13.72,13.58,13.79,13.48,4008110
2018-09-24 00:00:00+00:00,13.63,13.72,13.79,13.55,2213810
2018-09-25 00:00:00+00:00,13.58,13.58,13.67,13.48,2261840
2018-09-26 00:00:00+00:00,14.01,13.58,14.23,13.48,4516320
2018-09-27 00:00:00+00:00,14.26,14.16,14.38,14.13,3663710
2018-09-28 00:00:00+00:00,14.13,14.3,14.38,14.06,3943650
2018-10-01 00:00:00+00:00,13.89,14.13,14.18,13.87,2816100
2018-10-02 00:00:00+00:00,14.11,13.87,14.26,13.87,3139750
2018-10-03 00:00:00+00:00,14.23,14.26,14.3,14.13,1405830
2018-10-04 00:00:00+00:00,14.64,14.3,14.64,14.23,3273230
2018-10-05 00:00:00+00:00,14.45,14.6,14.67,14.43,3156560
2018-10-08 00:00:00+00:00,14.23,14.11,14.43,14.11,2101380
2018-10-09 00:00:00+00:00,14.43,14.26,14.43,14.13,2656380
2018-10-10 00:00:00+00:00,14.4,14.45,14.6,14.38,1689250
2018-10-11 00:00:00+00:00,13.5,13.67,14.11,13.43,4366960
2018-10-12 00:00:00+00:00,13.92,13.5,13.96,13.24,2298230
2018-10-15 00:00:00+00:00,13.67,13.92,13.94,13.58,2085500
2018-10-16 00:00:00+00:00,13.92,13.65,14.01,13.65,1363410
2018-10-17 00:00:00+00:00,14.11,14.21,14.21,14.04,1972280
2018-10-18 00:00:00+00:00,14.01,13.96,14.11,13.92,1487880
2018-10-19 00:00:00+00:00,14.06,13.77,14.06,13.63,1454000
2018-10-22 00:00:00+00:00,13.96,14.06,14.16,13.96,2026290
2018-10-23 00:00:00+00:00,13.48,13.96,13.96,12.99,2307530
2018-10-24 00:00:00+00:00,12.85,13.53,13.58,12.85,1535430
2018-10-25 00:00:00+00:00,12.66,12.22,12.75,12.17,2454470
2018-10-26 00:00:00+00:00,12.54,13.04,13.04,12.37,1747390
2018-10-29 00:00:00+00:00,12.46,12.51,12.61,12.37,1473740
2018-10-30 00:00:00+00:00,12.51,12.46,12.66,12.41,1327540
2018-10-31 00:00:00+00:00,13.04,12.66,13.04,12.66,1230140
2018-11-01 00:00:00+00:00,12.66,13.07,13.07,12.66,802870
2018-11-02 00:00:00+00:00,12.9,12.9,13.07,12.7,1048790
2018-11-05 00:00:00+00:00,13.02,12.95,13.07,12.85,920120
2018-11-06 00:00:00+00:00,13.07,13.29,13.29,12.97,1174180
2018-11-07 00:00:00+00:00,13.09,12.95,13.19,12.95,1180500
2018-11-08 00:00:00+00:00,13.09,13.34,13.34,13.07,710570
2018-11-09 00:00:00+00:00,12.78,13.02,13.07,12.78,1090990
2018-11-12 00:00:00+00:00,12.75,12.75,12.85,12.54,784460
2018-11-13 00:00:00+00:00,12.49,12.46,12.61,12.46,947810
2018-11-14 00:00:00+00:00,12.24,12.41,12.61,12.2,1692450
2018-11-15 00:00:00+00:00,12.24,12.24,12.39,12.15,971850
2018-11-16 00:00:00+00:00,12.46,12.37,12.8,12.34,645780
2018-11-19 00:00:00+00:00,12.85,12.46,12.95,12.46,1754860
2018-11-20 00:00:00+00:00,12.8,12.75,12.87,12.66,1534530
2018-11-21 00:00:00+00:00,12.85,12.61,12.99,12.56,1028070
2018-11-22 00:00:00+00:00,12.85,13.04,13.04,11.95,901490
2018-11-23 00:00:00+00:00,12.66,12.85,12.9,12.66,643390
2018-11-26 00:00:00+00:00,12.58,12.61,12.83,12.58,1195560
2018-11-27 00:00:00+00:00,12.61,12.75,12.85,12.58,1040020
2018-11-28 00:00:00+00:00,12.68,12.61,12.68,12.56,668970
2018-11-29 00:00:00+00:00,12.63,12.83,12.9,12.63,1304530
2018-11-30 00:00:00+00:00,12.63,12.73,12.75,12.61,635260
2018-12-03 00:00:00+00:00,13.19,12.85,13.19,12.75,3059840
2018-12-04 00:00:00+00:00,13.48,13.19,13.55,13.19,2885160
2018-12-05 00:00:00+00:00,13.58,13.34,13.72,13.24,3540000
2018-12-06 00:00:00+00:00,13.65,13.58,13.79,13.53,2977170
2018-12-07 00:00:00+00:00,13.58,13.67,13.82,13.48,2249340
2018-12-10 00:00:00+00:00,13.7,13.53,13.75,13.43,3389080
2018-12-11 00:00:00+00:00,13.72,13.75,13.82,13.63,2451470
2018-12-12 00:00:00+00:00,14.01,13.82,14.01,13.72,3106230
2018-12-13 00:00:00+00:00,13.92,14.06,14.13,13.92,2502500
2018-12-14 00:00:00+00:00,13.89,13.82,13.96,13.82,2395670
2018-12-17 00:00:00+00:00,13.29,13.72,13.82,13.29,3335920
2018-12-18 00:00:00+00:00,13.34,13.09,13.34,12.95,3565390
2018-12-19 00:00:00+00:00,13.34,13.29,13.34,13.07,1152330
2018-12-20 00:00:00+00:00,13.21,13.19,13.43,13.14,1096130
2018-12-21 00:00:00+00:00,13.24,13.09,13.24,12.95,1436860
2018-12-24 00:00:00+00:00,13.04,13.24,13.29,13.04,1250440
2018-12-25 00:00:00+00:00,12.8,12.7,12.87,12.51,2408040
2018-12-26 00:00:00+00:00,12.61,12.75,12.9,12.58,1965260
2018-12-27 00:00:00+00:00,12.63,12.85,12.92,12.63,2093990
2018-12-28 00:00:00+00:00,12.54,12.75,12.75,12.54,1849440
2019-01-02 00:00:00+00:00,12.41,12.61,12.63,12.41,1329030
2019-01-03 00:00:00+00:00,12.12,12.46,12.49,12.12,1811430
2019-01-04 00:00:00+00:00,12.1,12.12,12.12,11.27,2970830
2019-01-07 00:00:00+00:00,12.17,12.2,12.37,12.17,1436930
2019-01-08 00:00:00+00:00,12.17,12.2,12.22,12.15,843170
2019-01-09 00:00:00+00:00,12.51,12.22,12.61,12.17,3192180
2019-01-10 00:00:00+00:00,12.51,12.51,12.58,12.49,1644380
2019-01-11 00:00:00+00:00,12.61,12.54,12.75,12.54,1623150
2019-01-14 00:00:00+00:00,12.54,12.56,12.63,12.49,2002420
2019-01-15 00:00:00+00:00,12.85,12.54,12.85,12.54,1853220
2019-01-16 00:00:00+00:00,12.85,12.9,12.97,12.83,1782580
2019-01-17 00:00:00+00:00,12.92,12.85,13.02,12.8,1858980
2019-01-18 00:00:00+00:00,12.97,12.99,13.07,12.85,1598890
2019-01-21 00:00:00+00:00,13.29,13.04,13.34,13.04,1951730
2019-01-22 00:00:00+00:00,12.99,13.38,13.38,12.99,2368670
2019-01-23 00:00:00+00:00,12.87,13.04,13.04,12.87,2092730
2019-01-24 00:00:00+00:00,12.92,12.95,13.02,12.83,1537670
2019-01-25 00:00:00+00:00,12.92,13.07,13.21,12.92,1710030
2019-01-28 00:00:00+00:00,12.7,12.97,12.99,12.63,1864000
2019-01-29 00:00:00+00:00,12.85,12.7,12.85,12.56,2058540
2019-01-30 00:00:00+00:00,12.9,12.85,12.95,12.75,1017170
2019-01-31 00:00:00+00:00,12.85,12.9,12.9,12.75,2606420
2019-02-01 00:00:00+00:00,13.19,12.85,13.19,12.75,7859690
2019-02-11 00:00:00+00:00,13.12,13.09,13.24,12.99,2504660
2019-02-12 00:00:00+00:00,13.31,13.16,13.41,13.07,4957590
2019-02-13 00:00:00+00:00,13.36,13.31,13.46,13.29,2519920
2019-02-14 00:00:00+00:00,13.24,13.34,13.38,13.21,2290940
2019-02-15 00:00:00+00:00,13.21,13.19,13.41,13.14,3355310
2019-02-18 00:00:00+00:00,13.26,13.24,13.36,13.21,2160450
2019-02-19 00:00:00+00:00,13.36,13.29,13.67,13.29,7850600
2019-02-20 00:00:00+00:00,13.36,13.41,13.48,13.31,2760520
2019-02-21 00:00:00+00:00,13.34,13.38,13.43,13.24,2102120
2019-02-22 00:00:00+00:00,13.43,13.34,13.58,13.29,6443060
2019-02-25 00:00:00+00:00,13.46,13.53,13.58,13.43,3849680
2019-02-26 00:00:00+00:00,13.31,13.43,13.5,13.21,3078620
2019-02-27 00:00:00+00:00,13.19,13.31,13.34,13.12,4709200
2019-02-28 00:00:00+00:00,12.85,13.14,13.19,12.8,4845650
2019-03-01 00:00:00+00:00,12.9,12.9,13.02,12.8,2342280
2019-03-04 00:00:00+00:00,13.09,12.95,13.14,12.95,2834780
2019-03-05 00:00:00+00:00,12.99,13.02,13.19,12.95,3227790
2019-03-06 00:00:00+00:00,12.99,12.99,13.04,12.92,1004950
2019-03-07 00:00:00+00:00,12.97,13.04,13.12,12.97,1428410
2019-03-08 00:00:00+00:00,12.73,12.87,12.92,12.73,2892590
2019-03-11 00:00:00+00:00,12.75,12.85,12.85,12.73,894870
2019-03-12 00:00:00+00:00,12.99,12.9,12.99,12.73,1884510
2019-03-13 00:00:00+00:00,13.16,13.04,13.36,13.04,4603520
2019-03-14 00:00:00+00:00,13.09,13.19,13.21,13.07,1377040
2019-03-15 00:00:00+00:00,13.02,13.04,13.19,12.97,1750100
2019-03-18 00:00:00+00:00,13.12,13.07,13.21,12.99,3348820
2019-03-19 00:00:00+00:00,12.97,13.12,13.19,12.95,2078600
2019-03-20 00:00:00+00:00,12.9,12.97,12.97,12.8,1701020
2019-03-21 00:00:00+00:00,12.66,12.97,12.97,12.66,2858380
2019-03-22 00:00:00+00:00,12.66,12.68,12.75,12.58,2631920
2019-03-25 00:00:00+00:00,12.41,12.37,12.56,12.34,2295560
2019-03-26 00:00:00+00:00,12.37,12.41,12.56,12.32,2041810
2019-03-27 00:00:00+00:00,12.49,12.46,12.51,12.34,1426910
2019-03-28 00:00:00+00:00,12.39,12.44,12.51,12.39,798820
2019-03-29 00:00:00+00:00,12.41,12.39,12.51,12.39,1656270
2019-04-01 00:00:00+00:00,12.39,12.46,12.46,12.37,1213000
2019-04-02 00:00:00+00:00,12.37,12.46,12.54,12.34,1197560
2019-04-03 00:00:00+00:00,12.34,12.37,12.41,12.32,883080
2019-04-04 00:00:00+00:00,12.34,12.37,12.39,12.27,1084530
2019-04-05 00:00:00+00:00,12.32,12.37,12.37,12.32,790380
2019-04-08 00:00:00+00:00,12.24,12.32,12.32,12.17,1689220
2019-04-09 00:00:00+00:00,12.29,12.32,12.44,12.24,1526530
2019-04-10 00:00:00+00:00,12.17,12.27,12.37,12.12,1488230
2019-04-11 00:00:00+00:00,12.17,12.15,12.22,12.12,837020
2019-04-12 00:00:00+00:00,12.07,12.12,12.17,12.05,1318580
