Open,High,Low,Close,Volume,Date
24.9,25.0,24.55,24.55,18247800,2024-10-10
24.55,24.6,24.25,24.45,13916200,2024-10-11
24.55,24.6,24.35,24.35,11945500,2024-10-14
24.35,24.6,24.15,24.25,14126800,2024-10-15
24.2,24.3,24.1,24.2,9019700,2024-10-16
24.2,24.4,24.1,24.35,9422800,2024-10-17
24.45,24.8,24.4,24.45,15418700,2024-10-18
24.45,24.5,24.1,24.15,9745000,2024-10-21
24.2,24.4,24.0,24.2,16873500,2024-10-22
24.2,24.3,23.75,24.2,16761200,2024-10-23
24.15,24.2,23.55,23.65,14256700,2024-10-24
23.75,23.85,23.4,23.5,14325400,2024-10-25
23.5,23.7,23.45,23.65,7020100,2024-10-28
23.7,23.85,23.7,23.75,6285800,2024-10-29
23.8,24.0,23.75,24.0,11087000,2024-10-30
24.0,24.1,23.85,23.9,8621600,2024-10-31
23.85,24.0,23.7,23.7,14550800,2024-11-01
23.75,23.75,23.4,23.45,13930100,2024-11-04
23.5,23.65,23.45,23.45,9921800,2024-11-05
23.6,24.05,23.6,23.9,15680200,2024-11-06
24.15,24.15,23.85,23.85,8601500,2024-11-07
24.0,24.0,23.45,23.6,13097100,2024-11-08
23.7,23.7,23.05,23.2,15357300,2024-11-11
23.4,23.4,22.9,23.05,12489700,2024-11-12
23.0,23.15,22.7,23.15,13323900,2024-11-13
23.0,23.05,22.75,22.8,7429400,2024-11-14
22.8,22.8,22.4,22.45,14453100,2024-11-15
22.4,22.7,22.2,22.45,12110400,2024-11-18
22.55,22.55,22.2,22.4,6936100,2024-11-19
22.3,22.85,22.25,22.85,10247500,2024-11-20
22.8,23.2,22.6,23.2,11213000,2024-11-21
23.2,23.55,23.15,23.5,14405800,2024-11-22
23.5,23.6,23.4,23.5,7187600,2024-11-25
23.5,23.7,23.45,23.55,6757500,2024-11-26
23.5,23.6,23.35,23.5,6388200,2024-11-27
23.65,23.7,23.4,23.6,8136900,2024-11-28
23.5,23.6,23.35,23.6,8447400,2024-11-29
