Open,High,Low,Close,Volume,Date
449.38,449.38,441.6,447.47,13467070,2012-02-06
448.37,450.13,443.38,449.31,17261070,2012-02-07
452.13,460.98,450.0,460.98,20406280,2012-02-08
467.18,467.18,461.49,464.73,20379320,2012-02-09
464.25,464.25,456.52,458.23,20816360,2012-02-10
457.37,457.37,446.23,446.23,13169260,2012-02-13
447.79,450.22,447.79,450.22,12913010,2012-02-14
445.37,446.08,443.1,446.08,12467930,2012-02-15
439.63,445.37,439.63,443.54,16595430,2012-02-16
451.22,451.22,451.22,451.22,13335610,2012-02-17
459.4,465.44,459.17,465.44,18064580,2012-02-20
465.01,465.01,462.27,462.27,25524870,2012-02-21
460.85,470.97,460.85,470.97,19632000,2012-02-22
471.09,476.4,467.88,476.4,25663390,2012-02-23
478.71,483.72,476.78,477.77,26683352,2012-02-24
477.83,485.81,477.83,485.85,23089780,2012-02-27
487.72,489.94,479.53,480.89,29995432,2012-02-28
479.93,483.19,478.85,485.18,28501672,2012-02-29
488.36,488.36,485.55,491.01,22342000,2012-03-01
495.69,503.74,495.45,503.54,26665530,2012-03-02
534.73,538.98,507.2,508.41,45858720,2012-03-06
500.2,506.49,494.59,505.9,36337800,2012-03-07
495.63,503.39,494.47,489.05,28423440,2012-03-08
485.0,485.0,485.0,487.03,8180280,2012-03-09
485.49,490.9,482.87,486.42,21389800,2012-03-13
493.22,493.22,489.36,491.23,21343890,2012-03-14
489.49,502.82,486.57,502.82,38683080,2012-03-15
498.03,500.61,496.82,497.22,19375210,2012-03-19
494.24,500.77,494.24,501.29,20306320,2012-03-20
505.63,512.9,504.76,506.8,34696072,2012-03-21
503.84,509.78,503.84,505.54,24700500,2012-03-22
508.04,511.28,507.97,512.84,26117150,2012-03-23
517.61,518.09,509.49,517.27,28753200,2012-03-26
514.7,515.73,502.41,502.41,33826440,2012-03-27
499.74,505.33,493.89,504.54,20095550,2012-03-28
507.21,507.59,502.54,498.48,23528960,2012-03-29
501.93,503.36,496.99,500.07,19134730,2012-03-30
499.97,506.73,499.65,505.77,16311769,2012-04-03
507.11,507.78,500.28,500.28,15528440,2012-04-04
499.29,508.26,498.44,507.35,22504320,2012-04-05
510.45,515.13,509.25,511.51,29506930,2012-04-06
516.64,517.75,513.8,515.64,22525740,2012-04-09
516.42,521.09,514.56,517.4,27702170,2012-04-10
523.17,527.63,519.55,527.63,31311992,2012-04-11
531.24,540.43,530.07,537.28,35158140,2012-04-12
540.29,540.68,532.3,532.3,39331784,2012-04-13
533.23,535.33,530.48,539.17,28106250,2012-04-16
542.21,546.98,538.91,544.13,32161552,2012-04-17
544.76,551.52,540.85,541.6,37950776,2012-04-18
539.07,542.43,532.9,533.68,29899980,2012-04-19
535.44,539.82,533.37,533.74,21762350,2012-04-20
535.39,538.98,533.5,533.6,16134950,2012-04-23
534.82,536.0,528.69,534.89,18822088,2012-04-24
541.69,543.73,540.02,542.78,24328170,2012-04-25
542.53,544.68,538.06,538.1,22637172,2012-04-26
541.77,542.85,538.19,541.2,18517320,2012-04-27
544.13,545.52,537.51,539.72,24514390,2012-05-02
539.04,541.83,532.05,536.1,24058932,2012-05-03
536.81,545.21,536.81,542.5,27040280,2012-05-04
547.61,552.54,546.4,552.3,27745500,2012-05-07
554.29,561.45,552.53,557.02,38157828,2012-05-08
557.2,560.55,554.42,557.35,26645270,2012-05-09
559.31,561.53,551.62,554.74,32479070,2012-05-10
554.92,557.15,547.87,547.94,24157180,2012-05-11
546.27,549.75,536.25,536.35,29196102,2012-05-14
533.01,535.84,522.9,522.9,30385460,2012-05-15
522.7,527.27,516.04,519.7,24856130,2012-05-16
519.78,524.08,513.46,513.46,19892170,2012-05-17
510.7,510.7,500.21,504.61,29219270,2012-05-18
507.94,518.93,507.94,518.86,15988150,2012-05-21
520.69,523.83,515.12,516.86,18684968,2012-05-22
514.66,514.66,508.35,508.45,18270992,2012-05-23
504.2,509.76,499.93,501.58,18293420,2012-05-24
507.43,514.59,507.43,514.27,16691519,2012-05-25
521.46,521.47,511.33,513.44,18686950,2012-05-28
510.47,512.33,508.55,510.81,12832450,2012-05-29
513.62,516.15,511.63,513.38,13465860,2012-05-30
508.92,511.69,506.35,507.07,12134860,2012-05-31
509.06,509.52,504.6,505.65,10867510,2012-06-01
503.83,504.28,492.89,492.89,24662288,2012-06-04
490.63,498.02,490.63,498.02,16852652,2012-06-05
498.66,504.99,498.48,504.11,13196932,2012-06-06
508.56,512.97,506.39,509.41,22683510,2012-06-07
511.07,515.88,508.15,508.15,22572552,2012-06-08
508.09,512.94,506.52,509.99,19853360,2012-06-11
508.64,509.72,505.27,506.49,15637390,2012-06-12
507.6,507.6,503.16,504.19,19132000,2012-06-13
500.82,504.1,498.63,500.24,18984350,2012-06-14
500.65,509.25,500.65,507.94,41932728,2012-06-15
512.47,512.58,508.64,510.81,22566550,2012-06-18
508.37,510.6,505.02,506.67,12686659,2012-06-19
507.23,510.37,504.02,508.23,10659030,2012-06-20
504.85,507.84,504.52,504.71,13235290,2012-06-21
503.97,504.21,499.4,500.34,17344888,2012-06-22
499.37,503.58,496.43,498.09,16440300,2012-06-25
