trade_date,close,open,high,low,volume
20000728,100.0,100.0,100.0,100.0,4200
20000731,101.55,101.55,101.55,101.55,10300
20000802,103.38,103.38,103.38,103.38,300
20000804,105.2,105.2,105.2,105.2,3800
20000807,106.92,106.92,106.92,106.92,13200
20000809,108.64,108.64,108.64,108.64,15930
20000811,110.36,110.36,110.36,110.36,13600
20000814,112.08,112.08,112.08,112.08,11700
20000816,113.8,113.8,113.8,113.8,23000
20000818,115.52,115.52,115.52,115.52,10400
20000821,117.24,117.24,117.24,117.24,35500
20000823,118.96,118.96,118.96,118.96,111400
20000825,118.84,118.84,118.84,118.84,95220
20000828,117.0,117.0,117.0,117.0,97920
20000830,115.15,115.15,115.15,115.15,126510
20000901,113.37,113.37,113.37,113.37,96600
20000906,112.51,112.51,112.51,112.51,60900
20000908,112.39,112.39,112.39,112.39,49500
20000911,114.11,114.11,114.11,114.11,31300
20000913,116.08,116.08,116.08,116.08,18400
20000915,118.04,118.04,118.04,118.04,45900
20000918,118.19,118.19,118.19,118.19,64600
20000920,118.21,118.21,118.21,118.21,41600
20000922,118.76,118.76,118.76,118.76,66900
20000925,118.98,118.98,118.98,118.98,56600
20000927,119.69,119.69,119.69,119.69,56610
20000929,120.71,120.71,120.71,120.71,52800
20001002,120.92,120.92,120.92,120.92,48600
20001004,121.14,121.14,121.14,121.14,58400
20001006,122.21,122.21,122.21,122.21,39600
20001009,124.33,124.33,124.33,124.33,25900
20001011,126.45,126.45,126.45,126.45,53300
20001013,128.57,128.57,128.57,128.57,51900
20001016,130.71,130.71,130.71,130.71,26600
20001018,132.85,132.85,132.85,132.85,25700
20001020,135.04,135.04,135.04,135.04,65900
20001023,136.55,136.55,136.55,136.55,39100
20001025,137.08,137.08,137.08,137.08,45000
20001027,139.57,139.57,139.57,139.57,88200
20001030,140.84,140.84,140.84,140.84,101200
20001101,143.33,143.33,143.33,143.33,95900
20001103,145.83,145.83,145.83,145.83,78800
20001106,148.57,148.57,148.57,148.57,55300
20001108,151.32,151.32,151.32,151.32,29200
20001110,154.08,154.08,154.08,154.08,57300
20001113,156.84,156.84,156.84,156.84,21700
20001115,159.6,159.6,159.6,159.6,13400
20001117,162.36,162.36,162.36,162.36,35350
20001120,165.7,165.7,165.7,165.7,63910
20001122,165.52,165.52,165.52,165.52,136700
20001124,166.17,166.17,166.17,166.17,117420
20001127,165.6,165.6,165.6,165.6,90400
20001129,168.73,168.73,168.73,168.73,76800
20001201,171.87,171.87,171.87,171.87,43300
20001204,175.0,175.0,175.0,175.0,28500
20001206,178.13,178.13,178.13,178.13,60200
20001208,181.26,181.26,181.26,181.26,188420
20001211,189.94,189.94,189.94,189.94,125400
20001213,184.48,184.48,184.48,184.48,106000
20001215,187.62,187.62,187.62,187.62,49300
20001218,191.11,191.11,191.11,191.11,82200
20001220,194.85,194.85,194.85,194.85,39400
20001222,198.58,198.58,198.58,198.58,61300
20001225,202.32,202.32,202.32,202.32,21100
20001227,203.09,203.09,203.09,203.09,41250
20001229,206.83,206.83,206.83,206.83,60150
20010103,210.56,210.56,210.56,210.56,43600
20010105,214.32,214.32,214.32,214.32,50400
20010108,218.12,218.12,218.12,218.12,71700
20010110,222.15,222.15,222.15,222.15,184400
20010112,225.67,225.67,225.67,225.67,224000
20010115,228.35,228.35,228.35,228.35,123200
20010117,232.68,232.68,232.68,232.68,88120
20010119,236.97,236.97,236.97,236.97,42920
20010129,241.36,241.36,241.36,241.36,9050
20010131,245.8,245.8,245.8,245.8,6700
20010202,250.23,250.23,250.23,250.23,24500
20010205,254.96,254.96,254.96,254.96,2650
20010207,259.93,259.93,259.93,259.93,8800
20010209,260.15,260.15,260.15,260.15,315450
20010212,256.18,256.18,256.18,256.18,130600
20010214,252.21,252.21,252.21,252.21,78280
20010216,248.98,248.98,248.98,248.98,43570
20010219,245.99,245.99,245.99,245.99,34900
20010221,246.75,246.75,246.75,246.75,240100
20010223,251.22,251.22,251.22,251.22,155300
20010226,255.61,255.61,255.61,255.61,97130
20010228,252.4,252.4,252.4,252.4,293400
