Date,Close,Open,High,Low,Volume
2000-07-28 00:00:00+00:00,100.0,100.0,100.0,100.0,4200
2000-07-31 00:00:00+00:00,101.55,101.55,101.55,101.55,10300
2000-08-02 00:00:00+00:00,103.38,103.38,103.38,103.38,300
2000-08-04 00:00:00+00:00,105.2,105.2,105.2,105.2,3800
2000-08-07 00:00:00+00:00,106.92,106.92,106.92,106.92,13200
2000-08-09 00:00:00+00:00,108.64,108.64,108.64,108.64,15930
2000-08-11 00:00:00+00:00,110.36,110.36,110.36,110.36,13600
2000-08-14 00:00:00+00:00,112.08,112.08,112.08,112.08,11700
2000-08-16 00:00:00+00:00,113.8,113.8,113.8,113.8,23000
2000-08-18 00:00:00+00:00,115.52,115.52,115.52,115.52,10400
2000-08-21 00:00:00+00:00,117.24,117.24,117.24,117.24,35500
2000-08-23 00:00:00+00:00,118.96,118.96,118.96,118.96,111400
2000-08-25 00:00:00+00:00,118.84,118.84,118.84,118.84,95220
2000-08-28 00:00:00+00:00,117.0,117.0,117.0,117.0,97920
2000-08-30 00:00:00+00:00,115.15,115.15,115.15,115.15,126510
2000-09-01 00:00:00+00:00,113.37,113.37,113.37,113.37,96600
2000-09-06 00:00:00+00:00,112.51,112.51,112.51,112.51,60900
2000-09-08 00:00:00+00:00,112.39,112.39,112.39,112.39,49500
2000-09-11 00:00:00+00:00,114.11,114.11,114.11,114.11,31300
2000-09-13 00:00:00+00:00,116.08,116.08,116.08,116.08,18400
2000-09-15 00:00:00+00:00,118.04,118.04,118.04,118.04,45900
2000-09-18 00:00:00+00:00,118.19,118.19,118.19,118.19,64600
2000-09-20 00:00:00+00:00,118.21,118.21,118.21,118.21,41600
2000-09-22 00:00:00+00:00,118.76,118.76,118.76,118.76,66900
2000-09-25 00:00:00+00:00,118.98,118.98,118.98,118.98,56600
2000-09-27 00:00:00+00:00,119.69,119.69,119.69,119.69,56610
2000-09-29 00:00:00+00:00,120.71,120.71,120.71,120.71,52800
2000-10-02 00:00:00+00:00,120.92,120.92,120.92,120.92,48600
2000-10-04 00:00:00+00:00,121.14,121.14,121.14,121.14,58400
2000-10-06 00:00:00+00:00,122.21,122.21,122.21,122.21,39600
2000-10-09 00:00:00+00:00,124.33,124.33,124.33,124.33,25900
2000-10-11 00:00:00+00:00,126.45,126.45,126.45,126.45,53300
2000-10-13 00:00:00+00:00,128.57,128.57,128.57,128.57,51900
2000-10-16 00:00:00+00:00,130.71,130.71,130.71,130.71,26600
2000-10-18 00:00:00+00:00,132.85,132.85,132.85,132.85,25700
2000-10-20 00:00:00+00:00,135.04,135.04,135.04,135.04,65900
2000-10-23 00:00:00+00:00,136.55,136.55,136.55,136.55,39100
2000-10-25 00:00:00+00:00,137.08,137.08,137.08,137.08,45000
2000-10-27 00:00:00+00:00,139.57,139.57,139.57,139.57,88200
2000-10-30 00:00:00+00:00,140.84,140.84,140.84,140.84,101200
2000-11-01 00:00:00+00:00,143.33,143.33,143.33,143.33,95900
2000-11-03 00:00:00+00:00,145.83,145.83,145.83,145.83,78800
2000-11-06 00:00:00+00:00,148.57,148.57,148.57,148.57,55300
2000-11-08 00:00:00+00:00,151.32,151.32,151.32,151.32,29200
2000-11-10 00:00:00+00:00,154.08,154.08,154.08,154.08,57300
2000-11-13 00:00:00+00:00,156.84,156.84,156.84,156.84,21700
2000-11-15 00:00:00+00:00,159.6,159.6,159.6,159.6,13400
2000-11-17 00:00:00+00:00,162.36,162.36,162.36,162.36,35350
2000-11-20 00:00:00+00:00,165.7,165.7,165.7,165.7,63910
2000-11-22 00:00:00+00:00,165.52,165.52,165.52,165.52,136700
2000-11-24 00:00:00+00:00,166.17,166.17,166.17,166.17,117420
2000-11-27 00:00:00+00:00,165.6,165.6,165.6,165.6,90400
2000-11-29 00:00:00+00:00,168.73,168.73,168.73,168.73,76800
2000-12-01 00:00:00+00:00,171.87,171.87,171.87,171.87,43300
2000-12-04 00:00:00+00:00,175.0,175.0,175.0,175.0,28500
2000-12-06 00:00:00+00:00,178.13,178.13,178.13,178.13,60200
2000-12-08 00:00:00+00:00,181.26,181.26,181.26,181.26,188420
2000-12-11 00:00:00+00:00,189.94,189.94,189.94,189.94,125400
2000-12-13 00:00:00+00:00,184.48,184.48,184.48,184.48,106000
2000-12-15 00:00:00+00:00,187.62,187.62,187.62,187.62,49300
2000-12-18 00:00:00+00:00,191.11,191.11,191.11,191.11,82200
2000-12-20 00:00:00+00:00,194.85,194.85,194.85,194.85,39400
2000-12-22 00:00:00+00:00,198.58,198.58,198.58,198.58,61300
2000-12-25 00:00:00+00:00,202.32,202.32,202.32,202.32,21100
2000-12-27 00:00:00+00:00,203.09,203.09,203.09,203.09,41250
2000-12-29 00:00:00+00:00,206.83,206.83,206.83,206.83,60150
2001-01-03 00:00:00+00:00,210.56,210.56,210.56,210.56,43600
2001-01-05 00:00:00+00:00,214.32,214.32,214.32,214.32,50400
2001-01-08 00:00:00+00:00,218.12,218.12,218.12,218.12,71700
2001-01-10 00:00:00+00:00,222.15,222.15,222.15,222.15,184400
2001-01-12 00:00:00+00:00,225.67,225.67,225.67,225.67,224000
2001-01-15 00:00:00+00:00,228.35,228.35,228.35,228.35,123200
2001-01-17 00:00:00+00:00,232.68,232.68,232.68,232.68,88120
2001-01-19 00:00:00+00:00,236.97,236.97,236.97,236.97,42920
2001-01-29 00:00:00+00:00,241.36,241.36,241.36,241.36,9050
2001-01-31 00:00:00+00:00,245.8,245.8,245.8,245.8,6700
2001-02-02 00:00:00+00:00,250.23,250.23,250.23,250.23,24500
2001-02-05 00:00:00+00:00,254.96,254.96,254.96,254.96,2650
2001-02-07 00:00:00+00:00,259.93,259.93,259.93,259.93,8800
2001-02-09 00:00:00+00:00,260.15,260.15,260.15,260.15,315450
2001-02-12 00:00:00+00:00,256.18,256.18,256.18,256.18,130600
2001-02-14 00:00:00+00:00,252.21,252.21,252.21,252.21,78280
2001-02-16 00:00:00+00:00,248.98,248.98,248.98,248.98,43570
2001-02-19 00:00:00+00:00,245.99,245.99,245.99,245.99,34900
2001-02-21 00:00:00+00:00,246.75,246.75,246.75,246.75,240100
2001-02-23 00:00:00+00:00,251.22,251.22,251.22,251.22,155300
2001-02-26 00:00:00+00:00,255.61,255.61,255.61,255.61,97130
2001-02-28 00:00:00+00:00,252.4,252.4,252.4,252.4,293400
2001-03-02 00:00:00+00:00,253.64,253.64,253.64,253.64,207610
2001-03-05 00:00:00+00:00,250.73,250.73,250.73,250.73,165700
2001-03-07 00:00:00+00:00,248.05,248.05,248.05,248.05,202900
2001-03-09 00:00:00+00:00,252.61,252.61,252.61,252.61,118320
2001-03-12 00:00:00+00:00,255.99,255.99,255.99,255.99,122200
2001-03-14 00:00:00+00:00,257.7,257.7,257.7,257.7,143900
2001-03-16 00:00:00+00:00,258.52,258.52,258.52,258.52,102470
2001-03-19 00:00:00+00:00,260.29,260.29,260.29,260.29,179700
2001-03-21 00:00:00+00:00,261.11,261.11,261.11,261.11,83750
2001-03-23 00:00:00+00:00,259.6,259.6,259.6,259.6,134900
2001-03-26 00:00:00+00:00,260.11,260.11,260.11,260.11,76400
2001-03-28 00:00:00+00:00,264.7,264.7,264.7,264.7,88900
2001-03-30 00:00:00+00:00,269.3,269.3,269.3,269.3,44100
2001-04-02 00:00:00+00:00,274.43,274.43,274.43,274.43,139700
2001-04-04 00:00:00+00:00,279.56,279.56,279.56,279.56,56510
2001-04-06 00:00:00+00:00,284.69,284.69,284.69,284.69,32610
2001-04-09 00:00:00+00:00,289.82,289.82,289.82,289.82,146700
2001-04-11 00:00:00+00:00,295.09,295.09,295.09,295.09,98460
2001-04-13 00:00:00+00:00,300.36,300.36,300.36,300.36,67800
2001-04-16 00:00:00+00:00,306.16,306.16,306.16,306.16,43800
2001-04-18 00:00:00+00:00,311.96,311.96,311.96,311.96,61000
2001-04-20 00:00:00+00:00,317.76,317.76,317.76,317.76,123200
2001-04-23 00:00:00+00:00,313.74,313.74,313.74,313.74,321600
2001-04-25 00:00:00+00:00,315.27,315.27,315.27,315.27,417300
2001-04-27 00:00:00+00:00,321.07,321.07,321.07,321.07,49600
2001-05-02 00:00:00+00:00,327.13,327.13,327.13,327.13,43770
2001-05-04 00:00:00+00:00,332.0,332.0,332.0,332.0,115100
2001-05-07 00:00:00+00:00,338.35,338.35,338.35,338.35,64500
2001-05-09 00:00:00+00:00,344.47,344.47,344.47,344.47,160930
2001-05-11 00:00:00+00:00,351.06,351.06,351.06,351.06,25600
2001-05-14 00:00:00+00:00,357.65,357.65,357.65,357.65,60350
2001-05-16 00:00:00+00:00,364.27,364.27,364.27,364.27,25100
2001-05-18 00:00:00+00:00,370.9,370.9,370.9,370.9,56200
2001-05-21 00:00:00+00:00,377.43,377.43,377.43,377.43,52100
2001-05-23 00:00:00+00:00,384.16,384.16,384.16,384.16,230100
2001-05-25 00:00:00+00:00,390.88,390.88,390.88,390.88,83500
2001-05-28 00:00:00+00:00,397.5,397.5,397.5,397.5,131900
2001-05-30 00:00:00+00:00,404.26,404.26,404.26,404.26,14300
2001-06-01 00:00:00+00:00,411.03,411.03,411.03,411.03,16310
2001-06-04 00:00:00+00:00,417.79,417.79,417.79,417.79,21700
2001-06-06 00:00:00+00:00,424.56,424.56,424.56,424.56,24840
2001-06-08 00:00:00+00:00,426.58,426.58,426.58,426.58,193310
2001-06-11 00:00:00+00:00,428.02,428.02,428.02,428.02,425300
2001-06-13 00:00:00+00:00,456.18,456.18,456.18,456.18,122400
2001-06-15 00:00:00+00:00,486.34,486.34,486.34,486.34,73910
2001-06-18 00:00:00+00:00,518.62,518.62,518.62,518.62,210100
2001-06-20 00:00:00+00:00,553.56,553.56,553.56,553.56,141000
2001-06-22 00:00:00+00:00,563.0,563.0,563.0,563.0,544250
2001-06-25 00:00:00+00:00,571.04,571.04,571.04,571.04,268110
2001-06-27 00:00:00+00:00,531.93,531.93,531.93,531.93,79700
2001-06-29 00:00:00+00:00,500.28,500.28,500.28,500.28,119750
2001-07-02 00:00:00+00:00,491.17,491.17,491.17,491.17,181400
2001-07-04 00:00:00+00:00,512.8,512.8,512.8,512.8,268300
2001-07-06 00:00:00+00:00,502.93,502.93,502.93,502.93,223500
2001-07-09 00:00:00+00:00,470.83,470.83,470.83,470.83,109100
2001-07-11 00:00:00+00:00,436.13,436.13,436.13,436.13,93000
2001-07-13 00:00:00+00:00,416.46,416.46,416.46,416.46,169000
2001-07-16 00:00:00+00:00,411.43,411.43,411.43,411.43,122000
2001-07-18 00:00:00+00:00,438.12,438.12,438.12,438.12,99400
